robax_1,robax_2,robax_3,robax_4,robax_5,robax_6,extax_1,extax_2,extax_3,extax_4,extax_5,extax_6
-103.52704,-4.562086,4.540698,-2.496839,66.800156,-98.043144,0,0,0,0,0,0
-103.53161,-3.7995956,5.391152,-2.2210627,67.809616,-98.6548,0,0,0,0,0,0
-103.53618,-3.0370994,6.241612,-1.945285,68.819084,-99.266464,0,0,0,0,0,0
-103.54074,-2.2746084,7.092066,-1.6695087,69.828545,-99.87813,0,0,0,0,0,0
-103.521164,-1.6114248,7.825811,-1.4302652,70.677765,-100.38514,0,0,0,0,0,0
-103.49455,-0.97720534,8.525515,-1.2016771,71.48024,-100.86163,0,0,0,0,0,0
-103.46793,-0.342986,9.22522,-0.9730888,72.28273,-101.33812,0,0,0,0,0,0
-103.435036,0.2174687,9.840154,-0.77088064,72.981224,-101.74982,0,0,0,0,0,0
-103.39345,0.6757908,10.337718,-0.60519785,73.53574,-102.0718,0,0,0,0,0,0
-103.35186,1.13411,10.835277,-0.43951613,74.09027,-102.39379,0,0,0,0,0,0
-103.311,1.5779544,11.31676,-0.2790623,74.626495,-102.70492,0,0,0,0,0,0
-103.2806,1.8119285,11.565133,-0.19441003,74.897545,-102.85862,0,0,0,0,0,0
-103.250206,2.0459025,11.813506,-0.10975773,75.168594,-103.01232,0,0,0,0,0,0
-103.21982,2.2798765,12.06188,-0.025105422,75.439644,-103.16602,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
